org_code,district,district_type,grade_level,county,enrolled,econ_disadvantaged,percent_white,percent_black,percent_hispanic,meets_expectations_ELA,meets_expectations_math,percent_grads_attending_college,avg_SAT_score,percent_graduating_4_yrs,FTE_teachers_per_100_students,avg_teacher_salary,teacher_retention,dollars_per_student,ch_70_aid_per_student
1110000,Granby,Municipal,K12,Hampshire,727,0.25,0.86,0.001,0.095,0.48,0.45,0.696,1085,0.933,7.973590096,61016.50877,0.935,13420,6652.936963
1140000,Greenfield,Municipal,K12,Franklin,1732,0.494,0.716,0.025,0.192,0.39,0.3,0.613,1131,0.807,9.078983834,56853.0511,0.865,14531,6177.881732
1170000,Hadley,Municipal,K12,Hampshire,536,0.174,0.78,0.022,0.095,0.56,0.48,0.824,1121,0.914,9.328358209,70355.76815,0.82,15728,1833.688612
1220000,Hanover,Municipal,K12,Plymouth,2645,0.084,0.938,0.009,0.023,0.61,0.58,0.897,1106,0.984,7.648166352,80615.69305,0.904,13967,2742.771023
1250000,Harvard,Municipal,K12,Worcester,1065,0.047,0.796,0.021,0.04,0.75,0.7,0.892,1215,0.982,8.075117371,85199.83452,0.967,16766,2068.508995
1270000,Hatfield,Municipal,K12,Hampshire,436,0.14,0.908,0.005,0.048,0.55,0.56,0.793,1121,0.967,9.41146789,61691.48936,0.848,14400,2451.16129
2110000,North Andover,Municipal,K12,Essex,4769,0.146,0.743,0.032,0.11,0.6,0.6,0.854,1140,0.963,6.35514783,77641.27998,0.892,12122,1860.164432
1310000,Hingham,Municipal,K12,Plymouth,4242,0.047,0.901,0.012,0.031,0.78,0.74,0.874,1203,0.991,6.92154644,87233.48265,0.92,13207,1734.805511
1330000,Holbrook,Municipal,K12,Norfolk,1259,0.315,0.525,0.21,0.134,0.47,0.46,0.662,994,0.771,7.29070691,74409.70992,0.934,14007,5067.478473
310000,Billerica,Municipal,K12,Middlesex,4764,0.156,0.777,0.045,0.066,0.52,0.5,0.763,1111,0.872,7.604219144,83185.06473,0.924,16094,3909.379895
1370000,Holyoke,Municipal,K12,Hampden,5241,0.778,0.138,0.031,0.81,0.16,0.1,0.544,973,0.72,7.381625644,71477.5114,0.672,17143,11309.70411
1380000,Hopedale,Municipal,K12,Worcester,1087,0.109,0.868,0.009,0.057,0.65,0.64,0.811,1138,0.978,8.242870285,72513.5941,0.862,13920,6139.088146
1700000,Marlborough,Municipal,K12,Middlesex,4657,0.349,0.411,0.036,0.49,0.4,0.37,0.67,1054,0.791,8.29289242,77792.57225,0.893,16008,5318.487402
3440000,Winchester,Municipal,K12,Middlesex,4639,0.05,0.72,0.01,0.034,0.79,0.8,0.904,1253,0.935,7.660724294,79244.56026,0.875,13451,1944.788172
1420000,Hull,Municipal,K12,Plymouth,887,0.304,0.931,0.014,0.019,0.55,0.52,0.65,1109,0.853,9.330326945,76650.4779,0.919,20530,4100.880597
260000,Belmont,Municipal,K12,Middlesex,4628,0.071,0.651,0.034,0.042,0.78,0.78,0.827,1236,0.979,6.041356958,90615.8306,0.885,12736,2013.527852
