Org_Code,District,District_Type,Grade_Level,Single_School_District,County,Enrolled,Econ_disadv,Students_with_disabilities,English_learners,Five_Yr_change_in_enroll,Ten_Yr_change_in_enroll,Student_mobility,Choice_in_percent_of_enrolled,ELA_meet_exceed_expectations,Math_meet_exceed_expectations,ELA_student_growth_percentile,Math_student_growth_percentile,FTE_tchrs_per_100_students,Av_tchr_salary,Teacher_retention,Funds_per_indistrict_pupil,Foundation_enroll,Above_Below_req_net_school_spending,Combined_effort_yield_as_percent_of_foundation_budget,Ch_70_aid_per_pupil
04810000,Boston Renaissance,CharterC,Elementary,Single,,954,50.4,11.3,12.7,--,--,6.0,0.0,32.0,36.0,41.1,46.8,8.6,,72.0,0,,,0,--
04820000,River Valley Charter,CharterC,Elementary,Single,,288,8.7,16.7,0.0,--,--,2.7,0.0,65.0,50.0,59.6,60.5,7.2,,95.5,0,,,0,--
04830000,Rising Tide Charter,CharterC,Secondary,Single,,656,9.5,14.8,0.0,--,--,3.7,0.0,59.0,59.0,44.8,46.5,7.4,,77.4,0,,,0,--
04840000,Roxbury Preparatory,CharterC,Secondary,Single,,"1518",55.8,15.3,20.8,--,--,15.8,0.0,39.0,45.0,53.3,60.9,8.1,,56.1,0,,,0,--
04850000,Salem Academy,CharterC,Secondary,Single,,491,30.1,13.4,4.7,--,--,3.7,0.0,56.0,54.0,56.9,55.3,9.4,,78.0,0,,,0,--
04860000,Seven Hills,CharterC,Elementary,Single,,670,60.1,14.2,26.3,--,--,11.3,0.0,24.0,18.0,52.7,54.6,5.1,,65.8,0,,,0,--
04870000,Prospect Hill Academy,CharterC,K12,Single,,"1125",39.1,14.9,14.0,--,--,6.4,0.0,39.0,34.0,45.9,49.4,9.3,,67.8,0,,,0,--
04880000,South Shore Charter,CharterC,K12,Single,,940,19.6,16.7,12.2,--,--,9.6,0.0,47.0,32.0,44.9,36.0,9.4,,90.5,0,,,0,--
04890000,Sturgis Charter,CharterC,Secondary,Single,,836,12.2,13.8,0.5,--,--,7.2,0.0,,,,,10.5,,80.4,0,,,0,--
04910000,Atlantis Charter,CharterC,K12,Single,,"1294",41.6,13.8,10.5,--,--,6.2,0.0,45.0,40.0,46.0,39.5,7.0,,67.8,0,,,0,--
